OBJECT_COUNT,MS
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
20,0
20,0
20,0
40,0
40,0
120,0
160,0
160,0
180,0
180,0
200,0
200,0
220,0
240,0
240,0
260,0
260,0
280,0
280,0
300,0
300,0
300,0
320,0
340,0.031129
340,0.031129
360,0.031129
380,0.031129
380,0.031129
400,0.031129
400,0.031129
420,0.031129
440,0.031129
440,0.031129
440,0.031129
460,0.031129
480,0.031129
480,0.031129
500,0.031129
520,0.031129
520,0.031129
520,0.031129
540,0.031129
560,0.031129
560,0.031129
580,0.031129
580,0.031129
600,0.031129
600,0.031129
620,0.031129
620,0.031129
640,0.031129
660,0.031129
660,0.031129
680,0.031129
680,0.031129
700,0.031129
700,0.031129
720,0.031129
720,0.031129
720,0.031129
740,0.031129
760,0.031129
780,0.031129
780,0.031129
800,0.031129
800,0.031129
820,0.031129
840,0.031129
840,0.031129
860,0.031129
860,0.031129
880,0.031129
880,0.031129
900,0.031129
920,0.031129
920,0.031129
940,0.031129
940,0.031129
960,0.031129
960,0.031129
980,0.031129
980,0.031129
1000,0.031129
1000,0.046654
1020,0.046654
1040,0.046654
1040,0.046654
1060,0.046654
1060,0.046654
1080,0.046654
1080,0.046654
1080,0.046654
1100,0.046654
1120,0.046654
1120,0.046654
1140,0.046654
1160,0.046654
1160,0.046654
1180,0.046654
1180,0.046654
1200,0.046654
1220,0.046654
1220,0.046654
1240,0.046654
1240,0.046654
1260,0.046654
1260,0.046654
1280,0.046654
1280,0.046654
1300,0.046654
1320,0.046654
1320,0.046654
1340,0.046654
1340,0.046654
1360,0.046654
1360,0.046654
1380,0.046654
1380,0.046654
1400,0.046654
1400,0.046654
1420,0.046654
1440,0.046654
1440,0.046654
1460,0.046654
1460,0.046654
1480,0.046654
1480,0.046654
1500,0.046654
1500,0.046654
1520,0.046654
1520,0.046654
1540,0.046654
1560,0.046654
1560,0.046654
1580,0.046654
1580,0.046654
1600,0.046654
1600,0.046654
1620,0.046654
1620,0.046654
1640,0.046654
1660,0.046654
1660,0.046654
1680,0.041832
1680,0.041832
1700,0.041832
1700,0.041832
1720,0.041832
1740,0.041832
1740,0.041832
1740,0.041832
1760,0.041832
1780,0.041832
1780,0.041832
1800,0.041832
1800,0.041832
1820,0.041832
1840,0.041832
1840,0.041832
1860,0.041832
1860,0.041832
1880,0.041832
1880,0.041832
1900,0.041832
1900,0.041832
1900,0.041832
1920,0.041832
1920,0.041832
1940,0.041832
1940,0.041832
1960,0.041832
1960,0.041832
1980,0.041832
1980,0.041832
2000,0.041832
2020,0.041832
2020,0.041832
2040,0.041832
2040,0.041832
2060,0.041832
2060,0.041832
2080,0.041832
